Image with Motion Blur,MBLLEN Applied,GLADNet Applied,Retinexnet Applied,CE Applied,PPRP Applied,PCA Applied
24.44,32.62,12.02,11.11,32,15,18
43.87,44.46,21.98,12.86,35,14,28
25.74,34.25,21.9,6.4,43,19,39
27.52,34.31,28.29,23.47,33,26,27
27.29,55.6,39.11,12.91,48,32,12
34.36,41.94,19.07,13.34,38,21,19
44.23,45.16,25.99,12.04,35,18,30
41.75,43.08,31.64,14.22,43,15,38
46.46,48.92,27.53,27.78,46,31,21
34.75,35.97,32.9,9.97,38,10,14
39.9,51.2,19.01,8.64,29,15,27
54.67,42.28,24.2,8.6,36,11,17
42.52,45.51,30.24,13.85,35,44,41
33.46,33.3,21.52,7.96,20,32,14
54.99,49.01,36.69,15.96,45,40,37
46.74,34.82,7.43,10.6,16,22,20
43.86,56.58,32.56,4.4,43,16,33
42.27,44.56,26.65,14.65,46,23,32
45.63,42.42,22.52,11.64,46,17,19
46.8,47.68,32.39,10.96,45,28,38
44.07,48.56,13.87,9.6,23,15,18
28.14,36.18,25.02,13.72,39,23,21
40.57,47.87,30.82,14.52,47,21,39
43.29,47.07,28.51,13.43,43,29,31
46.39,46.42,13.4,14.7,23,16,22
38,31.18,27.42,13.29,38,30,26
23.62,30.65,17.85,9.05,32,14,20
46.59,41.06,31.88,19.64,42,33,26
17.33,25.12,14.66,14.92,24,14,24
34.39,35.91,22.24,15.39,38,20,25
35.14,45.88,25.76,12.01,39,16,38
34.37,36.54,38.89,21,43,25,51
47.86,51.91,24.87,11.46,34,36,16
44.19,48.02,23.99,7.1,44,19,32
14.29,29.9,35.43,12.71,42,41,14
40.85,47.02,17.89,17.82,28,14,23
44.33,38.08,14.45,13.18,27,17,21
38.33,41.64,25.95,12.04,40,19,34
45.45,51.56,21.53,11.79,38,27,31
45.04,48.3,27.78,18.81,37,25,16
49.22,50.51,24.17,6.32,37,33,12
40.4,40.12,34.76,24.02,50,19,34
37.32,40.79,25.15,8.96,40,20,40
55.4,59.33,29.48,10.52,46,30,40
34.2,44.88,22.3,9.48,36,16,34
48.35,46.65,39,20.15,45,16,48
39.35,42.65,15.38,13.79,24,15,25
39.93,42.34,32.23,11.27,47,28,31
39.04,44.63,32.19,15.13,49,11,39
56.77,50.29,24.15,11.48,42,28,43
42.51,36.53,15.36,9.53,30,21,14
29.68,35.82,24.76,13.56,37,16,29
44.5,50.79,23.63,9.02,39,13,34
42.56,41.05,18.81,14.73,22,23,12
53.63,44.52,40.82,18.84,25,19,41
48.09,49.42,16.33,6.36,29,18,21
47.4,45.9,36.03,10.05,41,49,14
21.31,29.68,14.24,11.27,30,15,20
43.71,26.8,36.03,9.34,43,25,12
30.3,48.44,16.41,9.12,27,16,36
41.76,39.08,29.54,12.44,37,41,19
47.49,52.25,41.11,7.81,52,44,34
42.9,54.67,38.45,22.82,41,20,36
32.15,36.07,27.43,23.15,45,26,25
36.65,42.96,24.58,11.68,33,11,43
48.45,45.16,29.3,14.59,35,38,46
27.01,19.19,21.26,10.97,30,15,21
34.47,41.8,25.67,13.22,35,23,32
41.66,44.22,34.11,11.55,45,24,28
50.53,48.62,18.95,9.3,20,17,37
40.96,44.1,19.65,6.78,35,20,25
43.46,46.42,20.95,10.67,27,17,24
22.86,26.54,23.55,22.58,24,24,27
56.17,45.57,31.18,11.25,38,38,20
44.46,44.38,23,12.54,33,23,14
35.53,41.41,17.02,12.27,38,16,27
45.05,47.01,30.96,25.02,50,26,34
36.11,53.47,46.04,23.25,48,43,39
41.82,41.87,33.92,13.37,45,32,38
26.51,36.37,21.67,18.57,40,19,25
53.42,58,35.06,10.47,39,25,50
30.79,38.13,18.84,9.11,34,13,23
38.19,34.72,25.99,14.09,37,20,31
39.4,44.63,22.81,10.83,43,15,30
43.78,44.99,39.97,24,50,26,22
34,38.15,16.56,9.72,34,11,19
47.78,44.35,26.46,7.13,34,34,23
61.51,56.26,37.61,16.72,41,19,32
26.69,33.65,13.06,10.35,33,13,18
34.49,42.69,27.97,11.53,38,26,25
31.86,37.57,18.91,10.8,27,11,21
26.45,34.14,25.51,16.07,34,20,33
45.95,65.94,33.93,25.71,30,23,11
26.05,38.33,13.07,8.11,37,14,22
34.54,38.17,19.68,13.84,35,23,15
31.9,38.58,12.86,8.45,26,22,15
45.78,50.72,43.79,19.44,53,32,45
34.93,42.82,25.81,7.53,37,17,36
32.67,44.08,22.79,8.5,43,17,30
23.93,50.36,17.94,12.41,36,17,23
24.24,27.51,24.77,20.03,31,21,26
46.62,55.23,38.65,20.85,50,23,32
35.71,46.54,28.56,14.91,43,25,38
31.69,46.09,28.11,9.48,42,19,43
46.68,49.44,27.17,6.81,36,25,38
51.53,39.84,26.11,14.38,33,18,16
47.68,52.31,22.66,21.39,49,28,15
50.45,53.54,25.81,11.05,35,43,26
